Year,Population,Total_Prod,Mekorot_total,Mekorot_wells,Mekort_hamovil,Mekorot_surface,Mekorot_TWW,Other_total,Other_wells,Other_surface,Other_effluents,Desalination,Total_Consump,Agricultural,Domestic
1990,4821700,1939,1232,733,153,247,99,707,393,254,60,0,1804,1216,482
1991,5058800,1619,1062,687,117,153,105,557,303,190,64,0,1492,916,459
1992,5195900,1827,1232,505,442,170,115,595,327,191,77,0,1617,996,503
1993,5327600,1934,1272,621,357,158,135,663,362,214,87,0,1793,1175,486
1994,5471500,2006,1353,644,393,160,157,652,353,254,60,0,1840,1190,521
1995,5612300,2172,1475,728,371,205,171,637,363,254,80,0,1983,1275,588
1996,5757900,2203,1515,721,386,217,191,688,360,248,80,0,2013,1285,604
1997,5900000,2224,1524,737,386,225,176,700,355,263,81,0,2008,1264,621
1998,6041400,2226,1476,723,376,226,151,750,377,287,86,0,2166,1365,672
1999,6209100,2151,1464,974,94,208,188,687,362,225,100,0,2073,1264,682
2000,6369300,1996,1341,725,230,216,170,655,331,225,99,0,1924,1138,662
2001,6508800,1885,1286,751,160,195,180,599,312,191,96,0,1800,1022,658
2002,6631100,1912,1298,762,152,197,187,614,309,204,101,0,1831,1021,688
2003,6748400,1970,1346,531,414,215,186,624,299,223,102,0,1860,1045,698
2004,6869500,2128,1457,507,527,226,197,671,320,223,128,0,1954,1129,712
2005,6990700,2199,1379,564,401,211,203,684,319,233,132,0,1961,1126,715
2006,7116700,1966,1330,670,242,201,217,666,316,208,142,0,1959,1108,737
2007,7243600,2063,1394,747,224,194,229,682,317,207,158,123,2072,1186,767
2008,7412200,2140,1338,654,267,186,231,802,307,181,173,141,2001,1121,759
2009,7552000,1849,1085,565,133,178,219,764,279,168,169,148,1811,1016,685
2010,7695100,2020,1102,544,167,160,231,654,292,177,185,264,1919,1100,689
2011,7836600,1957,1006,440,196,155,222,951,309,166,199,277,1831,1042,665
2012,7984500,1991,948,347,193,182,226,730,324,195,211,313,1902,1085,694
2013,8134300,2106,966,335,239,178,214,793,316,228,249,347,2076,1204,734
2014,8296600,2085,693,464,125,104,136,1031,337,241,453,361,2033,1122,754
2015,8463400,2125,696,464,50,53,129,918,300,278,347,503,2047,1118,893
2016,8628600,2253,760,531,24,53,152,951,337,254,360,543,2215,1253,933
2017,8797900,2306.5,775,535,34,50,156,946,327,255,364,586,2256,1249,984
2018,8967600,2271,666,451,18,53,144,960,318,272,370,645,2206,1173,1011
2019,9140500,2318,704,463,42,39,160,1005,317,303,385,609,2238,1191,1023
2020,9289800,2400,817,414,221,36,146,1007,291,314,402,576,2254,1195,1030